time,gps_heading,gspeed
1684813703.6920505,0.0,0.0
1684813703.7122657,0.0,0.0
1684813703.7316399,0.0,0.0
1684813703.7527487,0.0,0.0
1684813703.7720578,0.0,0.0
1684813703.7918842,0.0,0.0
1684813703.8119297,0.0,0.0
1684813703.8318696,0.0,0.0
1684813703.8523145,0.0,0.0
1684813703.872171,0.0,0.0
1684813703.892445,0.0,0.0
1684813703.9123762,0.0,0.0
1684813703.9319634,0.0,0.0
1684813703.9526224,0.0,0.003
1684813703.9727955,0.0,0.003
1684813703.9920702,0.0,0.003
1684813704.0125914,0.0,0.003
1684813704.0323944,0.0,0.003
1684813704.0521953,0.0,0.003
1684813704.0725548,0.0,0.003
1684813704.0920124,0.0,0.003
1684813704.1121652,0.0,0.003
1684813704.1328583,0.0,0.003
1684813704.1520574,0.0,0.003
1684813704.1721323,0.0,0.003
1684813704.1923265,0.0,0.003
1684813704.2117028,0.0,0.003
1684813704.2321858,0.0,0.003
1684813704.2522652,0.0,0.003
1684813704.2716918,0.0,0.003
1684813704.2926962,0.0,0.003
1684813704.31225,0.0,0.003
1684813704.3322587,0.0,0.003
1684813704.352782,0.0,0.003
1684813704.3721123,0.0,0.003
1684813704.3924272,0.0,0.003
1684813704.4128814,0.0,0.003
1684813704.4321365,0.0,0.003
1684813704.4522252,0.0,0.003
1684813704.472013,0.0,0.003
1684813704.4919033,0.0,0.003
1684813704.512093,0.0,0.003
1684813704.5322113,0.0,0.003
1684813704.5519617,0.0,0.003
1684813704.572823,0.0,0.003
1684813704.591812,0.0,0.003
1684813704.612095,0.0,0.003
1684813704.632749,0.0,0.003
1684813704.6519773,0.0,0.003
1684813704.672715,0.0,0.003
1684813704.6921735,0.0,0.003
1684813704.712223,0.0,0.003
1684813704.7326171,0.0,0.003
1684813704.7526262,0.0,0.003
1684813704.772112,0.0,0.003
1684813704.7922208,0.0,0.003
1684813704.8121717,0.0,0.003
1684813704.8319373,0.0,0.003
1684813704.8527405,0.0,0.003
1684813704.8720667,0.0,0.003
1684813704.8926523,0.0,0.003
1684813704.9125068,0.0,0.003
1684813704.931964,0.0,0.003
1684813704.9535255,0.0,0.002
1684813704.9724,0.0,0.002
1684813704.9920976,0.0,0.002
1684813705.0127318,0.0,0.002
1684813705.0320125,0.0,0.002
1684813705.0521843,0.0,0.002
1684813705.0723405,0.0,0.002
1684813705.0922663,0.0,0.002
1684813705.1124058,0.0,0.002
1684813705.1320314,0.0,0.002
1684813705.152068,0.0,0.002
1684813705.1727092,0.0,0.002
1684813705.1926572,0.0,0.002
1684813705.2129486,0.0,0.002
1684813705.2326286,0.0,0.002
1684813705.252039,0.0,0.002
1684813705.2723696,0.0,0.002
1684813705.2928796,0.0,0.002
1684813705.3125038,0.0,0.002
1684813705.33349,0.0,0.002
1684813705.3523097,0.0,0.002
1684813705.3720982,0.0,0.002
1684813705.3929486,0.0,0.002
1684813705.412431,0.0,0.002
1684813705.4322445,0.0,0.002
1684813705.4526472,0.0,0.002
1684813705.4720066,0.0,0.002
1684813705.492242,0.0,0.002
1684813705.512816,0.0,0.002
1684813705.5320592,0.0,0.002
1684813705.5526938,0.0,0.002
1684813705.5720944,0.0,0.002
1684813705.592077,0.0,0.002
1684813705.6126003,0.0,0.002
1684813705.632054,0.0,0.002
1684813705.6520817,0.0,0.002
1684813705.6726937,0.0,0.002
1684813705.692072,0.0,0.002
1684813705.7127318,0.0,0.002
1684813705.7315974,0.0,0.002
1684813705.7519157,0.0,0.002
1684813705.7724588,0.0,0.002
1684813705.7922518,0.0,0.002
1684813705.8118873,0.0,0.002
1684813705.832743,0.0,0.002
1684813705.8523338,0.0,0.002
1684813705.8720365,0.0,0.002
1684813705.892667,0.0,0.002
1684813705.9119327,0.0,0.002
1684813705.9323053,0.0,0.002
1684813705.9526813,0.0,0.004
1684813705.9718015,0.0,0.004
1684813705.9925625,0.0,0.004
1684813706.0122697,0.0,0.004
1684813706.0321405,0.0,0.004
1684813706.0526602,0.0,0.004
1684813706.0725033,0.0,0.004
1684813706.0921829,0.0,0.004
1684813706.1125534,0.0,0.004
1684813706.131876,0.0,0.004
1684813706.1520724,0.0,0.004
1684813706.1726966,0.0,0.004
1684813706.1921027,0.0,0.004
1684813706.2127023,0.0,0.004
1684813706.2327085,0.0,0.004
1684813706.2520742,0.0,0.004
1684813706.2728062,0.0,0.004
